id,compound_name,species,strain,dosage,age_at_initiation,treatment_duration,avg_lifespan_change_percent,avg_lifespan_significance,max_lifespan_change_percent,max_lifespan_significance,gender_new,weight_change_percent,weight_change_significance,ITP,pubmed_id,notes,last_modified
3879,Rapamycin,Mus musculus,129/Sv,1.5 ppm bodyweight subcutaneous injection 3 times a week for 2 weeks followed by a 2-week break,2 months,until death,10.0,NS,8.0,S,Female,-8.0,S,No,22107964,,2024-06-18 18:03:10
3878,Simvastatin,Mus musculus,UM-HET3,120 ppm food (20 ppm/day bodyweight),10 months,until death,0.0,NS,0.0,NS,Female,0.0,NS,Yes,20974732,,2024-06-18 18:01:14
3877,Simvastatin,Mus musculus,UM-HET3,120 ppm food (20 ppm/day bodyweight),10 months,until death,0.0,NS,0.0,NS,Male,0.0,NS,Yes,20974732,,2024-06-18 18:00:56
3876,Simvastatin,Mus musculus,UM-HET3,12 ppm food (2 ppm/day bodyweight),10 months,until death,0.0,NS,0.0,NS,Female,0.0,NS,Yes,20974732,,2024-06-18 18:00:20
3875,Simvastatin,Mus musculus,UM-HET3,12 ppm food (2 ppm/day bodyweight),10 months,until death,0.0,NS,0.0,NS,Male,0.0,NS,Yes,20974732,,2024-06-18 18:00:06
3874,Resveratrol,Mus musculus,UM-HET3,1200 ppm food (200 ppm/day bodyweight),12 months,until death,0.0,NS,0.0,NS,Female,0.0,NS,Yes,20974732,,2024-06-18 17:59:23
3873,Resveratrol,Mus musculus,UM-HET3,1200 ppm food (200 ppm/day bodyweight),12 months,until death,0.0,NS,0.0,NS,Male,0.0,NS,Yes,20974732,,2024-06-18 17:59:12
3872,Resveratrol,Mus musculus,UM-HET3,300 ppm food (50 ppm/day bodyweight),12 months,until death,0.0,NS,0.0,NS,Female,0.0,NS,Yes,20974732,,2024-06-18 17:58:31
3871,Resveratrol,Mus musculus,UM-HET3,300 ppm food (50 ppm/day bodyweight),12 months,until death,0.0,NS,0.0,NS,Male,0.0,NS,Yes,20974732,,2024-06-18 17:58:20
3870,Rapamycin,Mus musculus,UM-HET3,14 ppm food (2.24 ppm/day bodyweight),9 months,until death,18.0,S,13.0,S,Female,-6.0,S,Yes,20974732,,2024-06-18 17:57:23
3869,Rapamycin,Mus musculus,UM-HET3,14 ppm food (2.24 ppm/day bodyweight),9 months,until death,10.0,S,16.0,S,Male,-10.0,S,Yes,20974732,,2024-06-18 17:56:44
3868,Nordihydroguaiaretic acid,Mus musculus,UM-HET3,2500 ppm food (417 ppm bodyweight),16-18 months,until death,0.0,NS,0.0,NS,Female,0.0,NS,No,20819793,,2024-06-18 17:44:29
3867,Nitroflurbiprofen,Mus musculus,UM-HET3,200 ppm food (33 ppm bodyweight),16-18 months,until death,0.0,NS,0.0,NS,Female,0.0,NS,No,20819793,,2024-06-18 17:43:44
3866,N-acetyl-L-cysteine,Mus musculus,UM-HET3,10000 ppm water (1536 ppm/day bodyweight),7 months,until death,0.0,NS,0.0,NS,Female,-25.0,NA,No,20819793,,2024-06-18 17:42:01
3864,N-acetyl-L-cysteine,Mus musculus,UM-HET3,10000 ppm water (421 ppm/day bodyweight),7 months,until death,,NA,,S,Male,-31.0,NA,No,20819793,,2024-06-18 17:39:45
3862,Aspirin,Mus musculus,UM-HET3,21 ppm food (3.5 ppm bodyweight),16-18 months,until death,0.0,NS,0.0,NS,Female,23.0,S,No,20819793,,2024-06-18 17:36:42
3861,4-hydroxyphenyl-N-tert-butylnitrone,Mus musculus,UM-HET3,315 ppm food (52 ppm/day bodyweight),16-18 months,until death,0.0,NS,0.0,NS,Female,0.0,NS,No,20819793,,2024-06-18 17:35:06
3860,Rapamycin,Mus musculus,UM-HET3,14 ppm food (2.24 ppm/day bodyweight),20 months,until death,13.0,S,14.0,S,Female,,NA,Yes,19587680,,2024-06-18 17:32:29
3859,Rapamycin,Mus musculus,UM-HET3,14 ppm food (2.24 ppm/day bodyweight),20 months,until death,9.0,S,9.0,S,Male,,NA,Yes,19587680,,2024-06-18 17:32:09
3858,Enalapril,Mus musculus,UM-HET3,120 ppm food (20 ppm/day bodyweight),4 months,until death,0.0,NS,0.0,NS,Female,,NA,Yes,19587680,,2024-06-18 17:30:57
3857,Enalapril,Mus musculus,UM-HET3,120 ppm food (20 ppm/day bodyweight),4 months,until death,0.0,NS,0.0,NS,Male,,NA,Yes,19587680,,2024-06-18 17:30:47
3856,Caffeic acid phenethylester,Mus musculus,UM-HET3,300 ppm food (50 ppm/day bodyweight),4 months,until death,0.0,NS,0.0,NS,Female,,NA,Yes,19587680,,2024-06-18 17:30:05
3855,Caffeic acid phenethylester,Mus musculus,UM-HET3,300 ppm food (50 ppm/day bodyweight),4 months,until death,0.0,NS,0.0,NS,Male,,NA,Yes,19587680,,2024-06-18 17:29:53
3854,Caffeic acid phenethylester,Mus musculus,UM-HET3,30 ppm food (5 ppm/day bodyweight),4 months,until death,0.0,NS,0.0,NS,Female,,NA,Yes,19587680,,2024-06-18 17:29:18
3853,Caffeic acid phenethylester,Mus musculus,UM-HET3,30 ppm food (5 ppm/day bodyweight),4 months,until death,0.0,NS,0.0,NS,Male,,NA,Yes,19587680,,2024-06-18 17:28:55
3852,Metformin,Mus musculus,SHR,100 ppm water,3 months,until death,38.0,S,21.0,S,Female,0.0,NS,No,18728386,,2024-06-18 17:23:31
3850,Nordihydroguaiaretic acid,Mus musculus,UM-HET3,2500 ppm food (417 ppm bodyweight),9 months,until death,12.0,S,0.0,NS,Male,,NA,Yes,18631321,,2024-06-18 17:21:15
3851,Nordihydroguaiaretic acid,Mus musculus,UM-HET3,2500 ppm food (417 ppm bodyweight),9 months,until death,0.0,NS,0.0,NS,Female,,NA,Yes,18631321,,2024-06-18 17:20:45
3849,Nitroflurbiprofen,Mus musculus,UM-HET3,200 ppm food (33 ppm bodyweight),4 months,until death,0.0,NS,0.0,NS,Female,,NA,Yes,18631321,,2024-06-18 17:19:30
3848,Nitroflurbiprofen,Mus musculus,UM-HET3,200 ppm food (33 ppm bodyweight),4 months,until death,0.0,NS,0.0,NS,Male,,NA,Yes,18631321,,2024-06-18 17:18:46
3847,Aspirin,Mus musculus,UM-HET3,21 ppm food (3.3 ppm bodyweight),4 months,until death,0.0,NS,0.0,NS,Female,,NA,Yes,18631321,,2024-06-18 17:15:58
3846,Aspirin,Mus musculus,UM-HET3,21 ppm food (3.3 ppm bodyweight),4 months,until death,8.0,S,0.0,NS,Male,,NA,Yes,18631321,,2024-06-18 17:15:33
3845,4-hydroxyphenyl-N-tert-butylnitrone,Mus musculus,UM-HET3,350 ppm food (53 ppm/day bodyweight),4 months,until death,0.0,NS,0.0,NS,Female,,NA,Yes,18631321,,2024-06-18 17:14:37
3844,4-hydroxyphenyl-N-tert-butylnitrone,Mus musculus,UM-HET3,350 ppm food (53 ppm/day bodyweight),4 months,until death,0.0,NS,0.0,NS,Male,,NA,Yes,18631321,,2024-06-18 17:14:16
3843,"2,4-dinitrophenol",Mus musculus,Swiss Webster,1 ppm water,4 months,until death,7.0,S,,NA,Female,-11.0,S,No,18505478,,2024-06-18 16:42:41
3841,Creatine,Mus musculus,C57BL/6J,10000 ppm food,12 months,until death,9.0,S,3.0,S,Female,,NA,No,17416441,,2024-06-18 16:37:03
3840,Coenzyme Q10,Mus musculus,B6C3F1,100 ppm food,14 months,until death,0.0,NS,0.0,NS,Male,0.0,NS,No,15059645,,2024-06-18 16:34:53
3839,Alpha-lipoic acid,Mus musculus,B6C3F1,600 ppm food,14 months,until death,0.0,NS,0.0,NS,Male,0.0,NS,No,15059645,,2024-06-18 16:34:14
3838,Phenformin,Mus musculus,C3H/Sn,2 mg oral gavage 5 times a week,3.5 months,until death,21.0,S,28.0,S,Female,,NA,No,14618027,,2024-06-18 16:31:25
3837,Epitalon,Mus musculus,SHR,1 ug injection 5 consecutive days per month,3 months,until death,-5.0,NS,13.0,S,Female,0.0,NS,No,14501183,,2024-06-18 16:28:56
3836,Hydroxylamine hydrochloride,Mus musculus,C3H,20000 ppm food,after weaning,until death,-10.0,NA,,NA,Female,-6.0,NA,No,13711616,,2024-06-18 16:24:33
3835,Hydroxylamine hydrochloride,Mus musculus,C3H,10000 ppm food,after weaning,until death,7.0,S,,NA,Female,2.0,NA,No,13711616,,2024-06-18 16:24:04
3834,Hydroxylamine hydrochloride,Mus musculus,Swiss,20000 ppm food,after weaning,until death,-5.0,NA,,NA,Male,-1.0,NA,No,13711616,,2024-06-18 16:22:53
3833,Hydroxylamine hydrochloride,Mus musculus,Swiss,10000 ppm food,after weaning,until death,-5.0,NA,,NA,Male,1.0,NA,No,13711616,,2024-06-18 16:22:19
3832,Hydroxylamine hydrochloride,Mus musculus,AKR,20000 ppm food,after weaning,until death,17.0,S,,NA,Male,-6.0,NA,No,13711616,,2024-06-18 16:21:08
3831,Hydroxylamine hydrochloride,Mus musculus,AKR,10000 ppm food,after weaning,until death,8.0,NS,,NA,Male,-4.0,NA,No,13711616,,2024-06-18 16:20:29
3830,Cysteine hydrochloride,Mus musculus,C3H,10000 ppm food,after weaning,until death,-10.0,NA,,NA,Female,-7.0,NA,No,13711616,,2024-06-18 16:19:34
3829,Cysteine hydrochloride,Mus musculus,Swiss,10000 ppm food,after weaning,until death,-14.0,NA,,NA,Male,-3.0,NA,No,13711616,,2024-06-18 16:19:08
3828,Cysteine hydrochloride,Mus musculus,AKR,10000 ppm food,after weaning,until death,15.0,NS,,NA,Male,2.0,NA,No,13711616,,2024-06-18 16:18:23
3827,"2,2'-diaminodiethyl disulfide dihydrochloride",Mus musculus,C3H,10000 ppm food,after weaning,until death,-11.0,NA,,NA,Female,-34.0,NA,No,13711616,,2024-06-18 16:17:27
3826,"2,2'-diaminodiethyl disulfide dihydrochloride",Mus musculus,Swiss,10000 ppm food,after weaning,until death,-30.0,NA,,NA,Male,-33.0,NA,No,13711616,,2024-06-18 16:16:35
3825,"2,2'-diaminodiethyl disulfide dihydrochloride",Mus musculus,AKR,10000 ppm food,after weaning,until death,2.0,NA,,NA,Male,-17.0,NA,No,13711616,,2024-06-18 16:15:59
3824,2-mercaptoethylamine hydrochloride,Mus musculus,C3H,10000 ppm food,after weaning,until death,26.0,S,,NA,Female,-1.0,NA,No,13711616,,2024-06-18 16:15:02
3823,2-mercaptoethylamine hydrochloride,Mus musculus,Swiss,10000 ppm food,after weaning,until death,-18.0,NA,,NA,Male,-1.0,NA,No,13711616,,2024-06-18 16:13:38
3822,2-mercaptoethylamine hydrochloride,Mus musculus,AKR,10000 ppm food,after weaning,until death,-3.0,NA,,NA,Male,-10.0,NA,No,13711616,,2024-06-18 16:12:21
3821,Calcium pantothenate,Mus musculus,C57BL/6,300 µg/day in water,1 month,until death,20.0,S,,NA,Female,12.0,NA,No,13614445,,2024-06-18 16:09:26
3820,Calcium pantothenate,Mus musculus,C57BL/6,300 µg/day in water,1 month,until death,18.0,S,,NA,Male,13.0,NA,No,13614445,,2024-06-18 16:08:55
3819,Melatonin,Mus musculus,CBA,20 ppm water during night for 5 consecutive days every week (month?),6 months,until death,5.0,S,7.0,S,Female,8.0,S,No,11445596,,2024-06-18 16:04:05
3818,Dehydroepiandrosterone sulfate,Mus musculus,UM-HET3,100 ppm water,after weaning,until death,-1.0,NS,0.0,NS,Female,,NA,No,10443857,,2024-06-18 16:01:43
3817,Dehydroepiandrosterone sulfate,Mus musculus,UM-HET3,100 ppm water,after weaning,until death,-6.0,NS,0.0,NS,Male,,NA,No,10443857,,2024-06-18 16:01:19
3816,Dehydroepiandrosterone sulfate,Mus musculus,C57BL/6,25 ppm water,12 months,until death,0.0,NS,0.0,NS,Male,0.0,NS,No,10197641,,2024-06-18 15:58:51
3815,N-tert-butyl-alpha-phenylnitrone,Mus musculus,C57BL/6J,250 ppm water,24.5 months,until death,4.0,S,5.0,NA,Male,-2.0,NS,No,9614711,,2024-06-18 15:55:44
3814,Coenzyme Q10,Mus musculus,C57/B17,10 ppm/day bodyweight,2 months,until death,-3.0,NS,0.0,NS,Male,,NA,No,9584986,,2024-06-18 15:51:51
3813,L-deprenyl,Mus musculus,B6D2F1,0.25 ppm bodyweight 3x/week subcutaneous injection,26 months,until death,9.0,S,-1.0,NA,Female,-3.0,NS,No,8914495,,2024-06-18 15:47:08
3812,L-deprenyl,Mus musculus,B6D2F1,0.25 ppm bodyweight 3x/week subcutaneous injection,26 months,until death,9.0,S,15.0,NA,Male,3.0,NS,No,8914495,,2024-06-18 15:46:34
3811,L-deprenyl,Mus musculus,B6CBAF1,0.25 ppm bodyweight 3x/week subcutaneous injection,18.5 months,until death,7.0,S,31.0,NA,Female,7.0,NS,No,8914495,,2024-06-18 15:45:08
3810,L-deprenyl,Mus musculus,B6CBAF1,0.25 ppm bodyweight 3x/week subcutaneous injection,18.5 months,until death,6.0,S,7.0,NA,Male,8.0,NS,No,8914495,,2024-06-18 15:44:07
3809,Melatonin,Mus musculus,New Zealand Black,10 ppm water during night,5 months,until death,0.0,NS,,NA,Female,,NA,No,8290600,,2024-06-18 15:36:58
3808,Melatonin,Mus musculus,BALB/c,10 ppm water during night,15 months,until death,18.0,S,8.0,S,Female,-7.0,NS,No,8290600,,2024-06-18 15:34:40
3807,Melatonin,Mus musculus,C57BL/6,10 ppm water during night,19 months,until death,7.0,NS,,NA,Female,,NA,No,8290600,,2024-06-18 15:33:19
3806,Melatonin,Mus musculus,C57BL/6,10 ppm water during night,19 months,until death,17.0,S,,NA,Male,,NA,No,8290600,,2024-06-18 15:32:35
3805,Quercetin,Mus musculus,LACA,1000 ppm food (10 mg/day),1.1 month,until death,-6.0,NS,1.0,NS,Female,0.0,NS,No,7140862,,2024-06-18 15:30:19
3804,Quercetin,Mus musculus,LACA,1000 ppm food (10 mg/day),1.1 month,until death,-14.0,S,0.0,NS,Male,5.0,NS,No,7140862,,2024-06-18 15:29:34
3803,Ascorbic acid,Mus musculus,C57BL/6J,10000 ppm water (1430 ppm bodyweight),1 month,until death,9.0,S,3.0,NS,Male,-7.0,NA,No,6519438,,2024-06-18 15:23:48
3802,Methionine,Mus musculus,C57BL/6J,1670 ppm/day bodyweight (0.05 M water plus 4300 ppm food),19.4 months,until death,0.0,NS,,NA,Male,13.0,NA,No,6519211,,2024-06-18 15:21:11
3801,Methionine,Mus musculus,C57BL/6J,1670 ppm/day bodyweight (0.05 M water plus 4300 ppm food),1.4 months,until death,-17.0,S,,NA,Male,-8.0,NA,No,6519211,,2024-06-18 15:20:20
3800,Ethoxyquin,Mus musculus,C3H,5000 ppm food,3 months,until death,20.0,S,26.0,S,Female,-22.0,NA,No,4927196,,2024-06-18 15:17:43
3799,Ethoxyquin,Mus musculus,C3H,5000 ppm food,3 months,until death,18.0,S,25.0,S,Male,-11.0,NA,No,4927196,,2024-06-18 15:16:57
3798,Dimethylaminoethyl p-chlorophenoxyacetate,Mus musculus,C57BL/6J,702 ppm water,8.1 or 9.3 months,until death,4.0,NS,-6.0,NA,Female,-14.0,NA,No,4788962,,2024-06-18 15:08:40
3797,Chlorpromazine,Mus musculus,C57BL/6J,16.7 ppm water,9.7 or 10.7 months,until death,0.0,NS,4.0,NA,Female,0.0,NA,No,4788962,,2024-06-18 15:07:22
3796,Chlorpheniramine,Mus musculus,C57BL/6J,2.28 ppm water,9.4 months,until death,-2.0,NS,6.0,NA,Female,-17.0,NA,No,4788962,,2024-06-18 15:06:24
3795,Chlorpheniramine,Mus musculus,C57BL/6J,0.762 ppm water,9.4 or 10.4 months,until death,1.0,NS,-8.0,NA,Female,-11.0,NA,No,4788962,,2024-06-18 15:05:16
3794,Chloroquine,Mus musculus,C57BL/6J,39.5 ppm water,10.4 or 12.1 months,until death,0.0,NS,-9.0,NA,Female,-1.0,NA,No,4788962,,2024-06-18 15:04:05
3793,Chloroquine,Mus musculus,C57BL/6J,13.2 ppm water,9.4 or 10.4 months,until death,-8.0,S,-7.0,NA,Female,4.0,NA,No,4788962,,2024-06-18 14:58:45
3792,Aspirin,Mus musculus,C57BL/6J,495 ppm water,8.1 or 9.3 months,until death,0.0,NS,-3.0,NA,Female,-16.0,NA,No,4788962,,2024-06-18 14:56:34
3791,Aspirin,Mus musculus,C57BL/6J,242 ppm water,8.1 months,until death,-10.0,S,-7.0,NA,Female,2.0,NA,No,4788962,,2024-06-18 14:55:28
3790,Aspirin,Mus musculus,C57BL/6J,113 ppm water,8.1 months,until death,3.0,NS,-4.0,NA,Female,-6.0,NA,No,4788962,,2024-06-18 14:54:02
3789,Acetaminophen,Mus musculus,C57BL/6J,242 ppm water,9.4 months,until death,2.0,NS,-7.0,NA,Female,-1.0,NA,No,4788962,,2024-06-18 14:52:37
3788,Beta-carotene,Mus musculus,C57BL/6J,5000 ppm food,20 months,until death,-10.0,NS,,NA,Male,0.0,NS,No,3770487,,2024-06-18 14:49:47
3787,Beta-carotene,Mus musculus,C57BL/6J,5000 ppm food,1 month,until death,9.0,NS,,NA,Male,0.0,NS,No,3770487,,2024-06-18 14:48:43
3786,Aluminium chloride,Mus musculus,C57BL/6J,270 ppm water plus 289 ppm food,20 months,until death,-7.0,S,,NA,Male,-11.0,NA,No,3205069,,2024-06-18 14:46:22
3785,Prednisolone sodium phosphate,Mus musculus,DBA/2J,3-3.2 ppm water,7.7 months,until death,0.0,NS,4.0,NS,Female,0.0,NS,No,1132444,,2024-06-18 14:42:27
3784,Vanadyl sulfate,Mus musculus,Swiss,5 ppm water,after weaning,until death,12.0,NA,11.0,S,Female,-14.0,NA,No,1113210,,2024-06-18 14:38:22
3783,Vanadyl sulfate,Mus musculus,Swiss,5 ppm water,after weaning,until death,0.0,NA,15.0,S,Male,11.0,NA,No,1113210,,2024-06-18 14:37:52
3782,Sodium tungstate,Mus musculus,Swiss,5 ppm water,after weaning,until death,-3.0,NA,2.0,NS,Female,,NA,No,1113210,,2024-06-18 14:36:59
3781,Sodium tungstate,Mus musculus,Swiss,5 ppm water,after weaning,until death,41.0,NA,-15.0,NS,Male,,NA,No,1113210,,2024-06-18 14:33:57
3780,Sodium metaborate,Mus musculus,Swiss,5 ppm water,after weaning,until death,-3.0,NA,4.0,NS,Female,,NA,No,1113210,,2024-06-18 14:33:14
3779,Sodium metaborate,Mus musculus,Swiss,5 ppm water,after weaning,until death,30.0,NA,-6.0,NS,Male,,NA,No,1113210,,2024-06-18 14:32:47
3778,Potassium titanium oxalate,Mus musculus,Swiss,5 ppm water,after weaning,until death,0.0,NA,-4.0,NS,Female,-3.0,NA,No,1113210,,2024-06-18 14:31:47
3777,Potassium titanium oxalate,Mus musculus,Swiss,5 ppm water,after weaning,until death,-6.0,NA,4.0,NS,Male,11.0,NA,No,1113210,,2024-06-18 14:31:20
3776,Nickelous acetate,Mus musculus,Swiss,5 ppm water,after weaning,until death,5.0,NA,9.0,S,Female,-14.0,NA,No,1113210,,2024-06-18 14:30:37
3775,Nickelous acetate,Mus musculus,Swiss,5 ppm water,after weaning,until death,-7.0,NA,9.0,NS,Male,4.0,NA,No,1113210,,2024-06-18 14:29:55
3774,Methylmercury acetate,Mus musculus,Swiss,1 ppm water,after weaning,until death,2.0,NA,4.0,NS,Female,15.0,NA,No,1113210,,2024-06-18 14:29:10
3773,Methylmercury acetate,Mus musculus,Swiss,1 ppm water,after weaning,until death,2.0,NA,-16.0,NS,Male,-29.0,NA,No,1113210,,2024-06-18 14:28:40
3772,Mercuric chloride,Mus musculus,Swiss,5 ppm water,after weaning,until death,7.0,NA,19.0,NS,Female,8.0,NA,No,1113210,,2024-06-18 14:27:53
3771,Mercuric chloride,Mus musculus,Swiss,5 ppm water,after weaning,until death,-10.0,NA,-18.0,NS,Male,11.0,NA,No,1113210,,2024-06-18 14:27:12
3770,Lead acetate,Mus musculus,Swiss,25 ppm water,after weaning,until death,16.0,NA,2.0,NS,Female,-3.0,NA,No,1113210,,2024-06-18 14:26:18
3769,Lead acetate,Mus musculus,Swiss,25 ppm water,after weaning,until death,-5.0,NA,-2.0,NS,Male,11.0,NA,No,1113210,,2024-06-18 14:25:47
3768,Beryllium sulfate,Mus musculus,Swiss,5 ppm water,after weaning,until death,11.0,NA,13.0,NS,Female,-4.0,NA,No,1113210,,2024-06-18 14:24:36
3767,Beryllium sulfate,Mus musculus,Swiss,5 ppm water,after weaning,until death,-9.0,NA,-2.0,NS,Male,7.0,NA,No,1113210,,2024-06-18 14:24:00
3766,Barium acetate,Mus musculus,Swiss,5 ppm water,after weaning,until death,8.0,NA,-3.0,NS,Female,0.0,NS,No,1113210,,2024-06-18 14:22:32
3765,Barium acetate,Mus musculus,Swiss,5 ppm water,after weaning,until death,-9.0,NA,-12.0,S,Male,-4.0,NA,No,1113210,,2024-06-18 14:21:59
3764,Aluminum potassium sulfate,Mus musculus,Swiss,5 ppm water,after weaning,until death,-3.0,NA,3.0,NS,Female,27.0,NA,No,1113210,,2024-06-18 14:21:00
3763,Aluminum potassium sulfate,Mus musculus,Swiss,5 ppm water,after weaning,until death,-6.0,NA,2.0,NS,Male,0.0,NS,No,1113210,,2024-06-18 14:19:47
3762,Levodopa,Mus musculus,Swiss Albino,40000 ppm food,1 month,until death,28.0,S,12.0,S,Male,-13.0,NS,No,850799,,2024-06-18 14:15:04
3761,Levodopa,Mus musculus,Swiss Albino,20000 ppm food,1 month,until death,15.0,S,12.0,S,Male,-7.0,NS,No,850799,,2024-06-18 14:14:13
3760,Levodopa,Mus musculus,Swiss Albino,1000 ppm food,1 month,until death,7.0,NS,-14.0,S,Male,4.0,NS,No,850799,,2024-06-18 14:11:59
3759,Hexachlorophene,Mus musculus,XVII/G,150 ppm food,1 month,until death,-7.0,NS,,NA,Female,,NA,No,728888,,2024-06-18 14:09:38
3758,Hexachlorophene,Mus musculus,XVII/G,150 ppm food,1 month,until death,9.0,NS,,NA,Male,,NA,No,728888,,2024-06-18 14:09:15
3757,Hexachlorophene,Mus musculus,C57B1,150 ppm food,1 month,until death,-9.0,NS,,NA,Female,,NA,No,728888,,2024-06-18 14:08:35
3756,Hexachlorophene,Mus musculus,C57B1,150 ppm food,1 month,until death,6.0,NS,,NA,Male,,NA,No,728888,,2024-06-18 14:08:06
3755,p-fluorophenylalanine,Mus musculus,CBA,2 mM water,12 months,4 weeks,-5.0,NS,,NA,Female,0.0,NA,No,689376,,2024-06-18 14:04:37
3754,p-fluorophenylalanine,Mus musculus,CBA,0.4 mM water,12 months,4 weeks,-14.0,S,,NA,Female,0.0,NA,No,689376,,2024-06-18 14:03:59
3753,p-fluorophenylalanine,Mus musculus,CBA,0.08 mM water,12 months,4 weeks,0.0,NS,,NA,Female,-2.0,NA,No,689376,,2024-06-18 14:03:17
3752,p-fluorophenylalanine,Mus musculus,CBA,2 mM water,1 month,4 weeks,-7.0,NS,,NA,Female,-12.0,NA,No,689376,,2024-06-18 14:02:47
3751,p-fluorophenylalanine,Mus musculus,CBA,0.4 mM water,1 month,4 weeks,-3.0,NS,,NA,Female,-3.0,NA,No,689376,,2024-06-18 14:02:10
3750,p-fluorophenylalanine,Mus musculus,CBA,0.08 mM water,1 month,4 weeks,-3.0,NS,,NA,Female,-4.0,NA,No,689376,,2024-06-18 14:01:31
3749,p-fluorophenylalanine,Mus musculus,CBA,2 mM water,12 months,4 weeks,3.0,NS,,NA,Male,-4.0,NA,No,689376,,2024-06-18 14:00:40
3748,p-fluorophenylalanine,Mus musculus,CBA,0.4 mM water,12 months,4 weeks,0.0,NS,,NA,Male,-7.0,NA,No,689376,,2024-06-18 13:59:55
3747,p-fluorophenylalanine,Mus musculus,CBA,0.08 mM water,12 months,4 weeks,-8.0,NS,,NA,Male,-2.0,NA,No,689376,,2024-06-18 13:59:00
3746,p-fluorophenylalanine,Mus musculus,CBA,2 mM water,1 month,4 weeks,-10.0,NS,,NA,Male,6.0,NA,No,689376,,2024-06-18 13:57:26
3745,p-fluorophenylalanine,Mus musculus,CBA,0.4 mM water,1 month,4 weeks,-15.0,S,,NA,Male,7.0,NA,No,689376,,2024-06-18 13:56:40
3744,p-fluorophenylalanine,Mus musculus,CBA,0.08 mM water,1 month,4 weeks,-6.0,NS,,NA,Male,5.0,NA,No,689376,,2024-06-18 13:55:41
3743,Beta-aminopropionitrile fumarate,Mus musculus,LAF/J,3000 ppm water,2 months,18 months,5.0,S,0.0,NS,Male,0.0,NS,No,689120,,2024-06-18 13:52:03
3742,Beta-aminopropionitrile fumarate,Mus musculus,LAF/J,3000 ppm water,2 months,12 months,5.0,S,8.0,NS,Male,0.0,NS,No,689120,,2024-06-18 13:51:24
3741,Beta-aminopropionitrile fumarate,Mus musculus,LAF/J,3000 ppm water,2 months,6 months,0.0,NS,-2.0,NS,Male,0.0,NS,No,689120,,2024-06-18 13:50:38
3740,Beta-aminopropionitrile fumarate,Mus musculus,LAF/J,1000 ppm water,2 months,18 months,6.0,S,7.0,NS,Male,0.0,NS,No,689120,,2024-06-18 13:49:36
3739,Beta-aminopropionitrile fumarate,Mus musculus,LAF/J,1000 ppm water,2 months,12 months,6.0,S,-1.0,NS,Male,0.0,NS,No,689120,,2024-06-18 13:48:48
3738,Beta-aminopropionitrile fumarate,Mus musculus,LAF/J,1000 ppm water,2 months,6 months,5.0,S,-1.0,NS,Male,0.0,NS,No,689120,,2024-06-18 13:47:21
3737,Butylated hydroxytoluene,Mus musculus,BaLB/c,7500 ppm food,2.6 months,until death,25.0,S,0.0,NS,Female,,NA,No,448040,,2024-06-18 13:43:05
3736,Butylated hydroxytoluene,Mus musculus,BaLB/c,7500 ppm food,2.6 months,until death,30.0,S,0.0,NS,Male,,NA,No,448040,,2024-06-18 13:42:35
3735,Butylated hydroxytoluene,Mus musculus,BaLB/c,7500 ppm food,2 months,until death,14.0,S,0.0,NS,Female,,NA,No,448040,,2024-06-18 13:41:53
3734,Butylated hydroxytoluene,Mus musculus,BaLB/c,7500 ppm food,2 months,until death,22.0,S,0.0,NS,Male,,NA,No,448040,,2024-06-18 13:41:17
3733,Butylated hydroxytoluene,Mus musculus,BaLB/c,7500 ppm food,2 months,2.6 months,8.0,S,0.0,NS,Female,,NA,No,448040,,2024-06-18 13:39:43
3732,Butylated hydroxytoluene,Mus musculus,BaLB/c,7500 ppm food,2 months,2.6 months,6.0,NS,0.0,NS,Male,,NA,No,448040,,2024-06-18 13:38:20
3716,KU0063794,Mus Musculus,C57BL/6,10 ppm KU0063794 incorporated into diet and fed ad libitum,25 months,,6.7,S,2.9,NA,Male,,NA,No,37269831,,2024-06-17 08:57:20
3714,Chloroquine,Rattus Norvegicus,Sprague Dawley,twice a week at 0.1 mg/kg orally by water,24 months,,6.0,S,13.0,NA,Male,,NA,No,35023015,,2024-06-17 08:57:20
3691,Mifepristone,Drosophila melanogaster,Progeny of w[1118] X y; ElavGS,160 μg/mL,,,15.33,S,,NA,Female,,NA,No,28451923,Change in mean lifespan of female flies mated with SP-null males. Average of two experiments,2024-06-17 08:57:20
3690,Mifepristone,Drosophila melanogaster,Progeny of w[1118] X y; ElavGS,160 μg/mL,,,67.1,S,,NA,Female,,NA,No,28451923,Change in mean lifespan of female flies mated with Canton-S males. Average of two experiments,2024-06-17 08:57:20
3689,Mifepristone,Drosophila melanogaster,Progeny of w[1118] X y; ElavGS,160 μg/mL,,,56.35,S,,NA,Female,,NA,No,28451923,Change in mean lifespan of female flies mated with w[1118] males. Average of two experiments,2024-06-17 08:57:20
3688,Mifepristone,Drosophila melanogaster,Progeny of w[1118] X y; ElavGS,160 μg/mL,,,15.2,S,,NA,Female,,NA,No,28451923,Change in mean lifespan of virgin flies. Average of two experiments,2024-06-17 08:57:20
3687,Mifepristone,Drosophila melanogaster,,200 μg/mL,,,-3.45,NS,,NA,Female,,NA,No,32648907,,2024-06-17 08:57:20
3686,Mifepristone,Caenorhabditis elegans,N2,400 μg/mL,,,15.0,S,,NA,Unknown,,NA,No,32648907,Mated animals,2024-06-17 08:57:20
